username;tanggal;ulasan;label
Dwi Purwo Saputro;13/03/2023 18:34;Tokocrypto adalah aplikasi yang saya andalkan saat ini, semoga tokocrypto semakin baik dan terpercaya, sukses selalu...;Positif
adi candra;13/03/2023 18:29;Saya Memilih Tokocrypto untuk jual beli dan pertukaran Di Tokocrypto Banyak keunggulannya. #Pilih Tokocrypto @tokocrypto Memiliki antarmuka yang ramah pengguna yang membuatnya mudah dinavigasi. Dan memiliki fitur keamanan yang kuat. Cepat dan responsif. Pasar realtime. Selalu memperbarui dengan sistem yang berlaku di Indonesia. Biayanya murah! versi Lite saya tunggu, supaya bisa jual beli dimana aja! #Review Berkah #Siap Lebih Cuan;Positif
Daud Saprudin;13/03/2023 18:20;Dari awal aku mengenal dan memilih #pilih Tokocrypto buat jual beli yg sangat amat terpercaya, sangat terbaik dari yg terbaik Untuk ke depannya cuman satu harapanku tetap pertahankan pelayanan terbaiknya dah perbanyak lagi acara dan hadiahnya untuk lebih memikat hati para trader #Review Berkah #Siap Lebih Cuan;Positif
Darlim;13/03/2023 18:04;Di Tokocrypto sangat bagus buat jual beli aset kripto, Aplikasinya sangat lengkap fiturnya & Selalu diperbarui! Menggunakannya juga sangat mudah untuk dipahami dan Dijalankan saat kita mau jual beli! Terima kasih!;Positif
enceng 95;13/03/2023 17:49;Rekomendasi banget sih. Aku #Pilih Tokocrypto @tokocrypto buat jual beli soalnya paling terpercaya karena selalu memperbarui dengan peraturan yang berlaku di Indonesia, udah gitu biayanya paling murah! Semoga ke depannya ada versi Lite supaya bisa jual beli dimana aja! #Review Berkah #Siap Lebih Cuan;Positif
MOBILMOTOR GAMBAR;13/03/2023 17:49;Rekomendasi untuk tokocrypto, terdaftar OJK, fiturnya bagus, koinnya banyak, gk seperti aplikasi pertukaran lainnya yg susah pada bangkrut, sukses selalu tokocrypto;Positif
Zarell Davianza;13/03/2023 17:36;Terima kasih untuk Tokocrypto karena menjembatani saya untuk membeli aset kripto. Dan saya merasa menikmati menggunakan aplikasi ini, tentu karena fitur yang lengkap, biaya transaksi yang murah, serta mudah digunakan sekali. Semoga Tokocrypto bisa semakin berkembang dan baik ke depannya.;Positif
Ancanurma Nurma;13/03/2023 17:17;Aplikasi yang terpercaya mudah digunakan dan pasti aman untuk menyimpan aset kripto, jual dan beli pastinya lebih mudah menggunakan tokocrypto;Positif
MUHAMAD AHMAD13;13/03/2023 17:08;Saya #Pilih Tokocrypto @tokocrypto Untuk kebutuhan aset kripto saya selain legal dan nyaman aplikasinya juga sudah cukup bagus dan mudah untuk kita terutama yang pemula ada edukasinya dan yang terpenting sangat mudah dalam penarikan cepat dan sederhana #Review Berkah #Siap Lebih Cuan;Positif
Trisno;13/03/2023 16:45;Fitur aplikasi tokocrypto cukup mudah dan lengkap dan cocok banget buat pemula yang ingin belajar jual beli kripto juga setorannya cukup cepat dan mudah serta banyak sekali promosi dan acaranya. Sukses selalu tokocrypto;Positif
Yusudasa Script;13/03/2023 16:40;Belum begitu lama kenal kripto, tp yang pertama diinstal tokocrypto selain binance, karena selain mudah dan ringan pairnya juga paling lengkap di indonesia, selalu banyak bonusnya $TKO, semoga ke depannya semakin mengerti keinginan pengguna selain kripto juga ada pasar NFTnya, amin;Positif
wong jeven;13/03/2023 16:39;Sudah lama sekali pakai Tokocrypto buat transaksi pengiriman , penarikan , jual beli tercepat , aman dan murah banget biayanya hehe tambah cuan nih .. Ada sistem authenticator jg semakin ketat bagus banget jd merasa aman dan nyaman pakai aplikasi ini buat simpan kripto .. Semoga ke depannya semakin maju dan cuan tentunya..  #tokocrypto;Positif
Qombor Moonier;13/03/2023 16:33;Tokocrypto adalah aplikasi pertukaran yang mudah dipahami oleh pemula, memiliki fitur yang cukup lengkap dengan biaya gas yg lebih murah. Juga terpercaya dan resmi, aman utk jual beli tanpa khawatir. setoran dan penarikan sangat mudah, mau lewat bank atau beberapa dompet digital. Tokocrypto, Salam to the moon !!!;Positif
Piebee Yorin;13/03/2023 16:33;TokoCrypto aplikasi jual beli terbaik dan termudah digunakan karena mudah dipahami oleh pengguna baru serta proses penarikan yang sangat cepat dan biaya admin yg murah bikin saya betah pakai tokocrypto. Semoga ke depannya terus bertumbuh menjadi aplikasi pertukaran terbaik dan berguna untuk masyarakat. terima kasih;Positif
HUSEN ALGIFARI;13/03/2023 16:30;Saya telah menggunakan aplikasi Tokocrypto selama beberapa bulan terakhir dan saya merasa sangat puas dengan layanan dan fiturnya. Aplikasi ini sangat mudah digunakan dan transaksi dapat dilakukan dengan cepat dan lancar. Saya juga menghargai pendukung pelanggan yang sangat responsif dan membantu. Selain itu, saya merasa aplikasi Tokocrypto memiliki fitur keamanan yang baik dan mudah digunakan. Saya merasa aman saat melakukan transaksi kripto di aplikasi ini.;Positif
Awaludin Jamil;13/03/2023 16:28;Suka banget sama tokocrypto;Positif
Muh Prasetya;13/03/2023 16:27;Menurut saya ini adalah aplikasi pertukaran terbaik di indonesia, selain biaya yg kecil setiap transaksinya, harga langsungnya pun 1:1. Untuk setoran dan penarikannya pun sangat cepat. Gk nyesel pake aplikasi ini selama 1 tahun lebih. Mantap pokoknya. sukses tokocrypto;Positif
Tia;13/03/2023 16:26;Cinta banget sama tokocrypto karena tampilan aplikasinya mudah dipahami, biaya adminnya juga murah, proses setoran dan penarikan cepat, aman sudah terdaftar OJK dan banyak koin / token pilihan yg kita mau. Gk mau pindah ke aplikasi lain karena senyaman itu.;Positif
Calvin Glarensia;13/03/2023 16:24;Tokocrypto lebih mudah diakses dan penarikan / setoran sangat cepat, biaya juga murah. Selalu pakai Tokocrypto dari awal sampai sekarang. Semoga Tokocrypto lebih makin maju lagi untuk perbanyak investor kripto di Indonesia. Salam Cuan To The Moon;Positif
Zanuar Andika;13/03/2023 16:21;Aplikasi perdagangan kripto di indonesia yang mudah digunakan untuk pemula, biaya murah dan diawasi oleh negara, kerja bagus bro;Positif
Heeman heeman;13/03/2023 16:19;dompet pertama dalam dunia kriptoku. Aman mudah dan berkah;Positif
JAALIFESTYLE MANTAP;13/03/2023 16:16;Semoga penarikan di tokoCrypto menjadi lebih cepat. tokoCrypto semakin didepan;Positif
errik indrapraja;13/03/2023 16:16;Pasar yang baik utk transaksi jual dan beli ok banget cepat dibanding sebelah.. Ukuran skala lokal indonesia, tapi jual beli gk kalah sama skala Internasional.. terpercaya, aplikasi responsif, antarmuka mudah..;Positif
M4R;13/03/2023 16:09;Aplikasi jual beli kripto terbaik dan termudah seindonesia , terjamin aman karena berpartner dgn binance atau udh diakuisisi fitur favorit saya pemindahan aset dari binance ke tokocrypto dan sebaliknya dgn biaya nol rupiah;Positif
Lyshell Karoshi;13/03/2023 11:22;Aman ;Positif
Derry Saputra;12/03/2023 23:08;Tokocrypto adalah salah satu aplikasi pertukaran kripto Lokal yang sering saya gunakan dikarenakan tampilannya yang sederhana dan enak untuk pengguna, terlebih lagi biaya yang perlu dibayarkan sangat murah dan pada saat setoran maupun Penarikan cukup cepat!;Positif
viacell 12;12/03/2023 23:04;Saya #Pilih Tokocrypto @Tokocrypto Nomor 1 Aplikasi Pertukaran Kripto di Indonesia! Terdaftar Resmi di BAPPEBTI. jual beli biaya tko diskon 25% jadi lebih murah biaya buat jual beli dengan biaya tko! Keamanan sudah 2FA Tko lock, semacam setoran kunci tko dapatkan tko setiap hari! Selesaikan misi setiap hari dapat tko gratis! setoran dengan mudah dan tanpa biaya setoran! penarikan sangat cepat gk sampai 10 menit sudah masuk rekening. #Review Berkah #Siap Lebih Cuan;Positif
Shiba Inu;12/03/2023 22:54;Aplikasinya Bagus Inovatif Mudah Untuk Dipahami oleh Para Investor Pemula Pokoknya Bagus dan sederhana;Positif
Junardi byu;12/03/2023 22:12;Buat apa sih google authenticator bikin malas untuk inves aja nih wkwkwk;Negatif
hanako chan;12/03/2023 21:08;mantap, lancar, aman serta cocok buat jual beli kripto.;Positif
suad flash;12/03/2023 20:37;Transaksi mudah, gk pake ribet terjamin aman, ada pasar etf yg lumayan udah nambah cuan, walaupun pasar turun sekalipun. Setor dan tarik dana lumayan cepat. Enaknya biaya admin cuma Rp10.000 termurah deh. Tokocrypto mantap....;Positif
Ai Zuahib;12/03/2023 17:44;Tambah ribet buat penarikan;Negatif
Edi Susanto;12/03/2023 15:59;Aplikasi setan. Uang gue sendiri yang mau saya diambil kok ribetnya minta ampun. Pertama harus verifikasi hp dan email setelah berhasil harus tambah lagi pakai verifikasi autentikator, eh sudah tiga - tiganya malah disuruh tunggu 3 hari baru bisa menarik lagi. Dasar Aplikasi gila.;Negatif
Silo Putro;12/03/2023 15:33;Aku #Pilih Tokocrypto @tokocrypto pilihan saya buat jual beli paling ok, tidak pernah bermasalah, grafik yang jelas, informasi tentang Kripto yang terpercaya karena selalu diperbarui dengan peraturan yang berlaku di Indonesia, dan yang paling bikin gk boke biayanya bro !!!! paling murah! Semoga ke depannya tokocrypto selalu jadi aplikasi yang handal dan paling murah biaya transaksinya diantara aplikasi yang lain .. jaya terus tokocrypto.. di kau selalu di handphone dan di hatiku.. #Review Berkah #Siap Lebih Cuan;Positif
Setiadji Prabowo;12/03/2023 14:31;Tokocrypto fiturnya sangat lengkap dan sangat mudah digunakan. Gk pernah gangguan dan sangat transparan. Informasi yang diberikan sangat jelas dan pendukung pelanggannya sangat cepat tanggap. Terima kasih.;Positif
yapriel riel;11/03/2023 21:37;Aplikasi Tokocrypto adalah aplikasi jual beli kripto terpercaya dengan berbagai keunggulan dengan fitur yang lengkap serta tingkat keamanan yang menjadi prioritas yang menjadikan Tokocrypto banyak diminati dan digunakan di indonesia, didukung dengan acara khusus di media sosial Tokocrypto dan juga berbagai acara yang selalu diadakan lewat media sosial resmi tokocrypto, serta aplikasi Tokocrypto sangat dinamis dan mudah digunakan serta proses setoran dan penarikan yang cepat Tokocrypto;Positif
Moh.Alfarizi Latif;11/03/2023 19:24;Aku #Pilih Tokocrypto @tokocrypto karena banyak hal, diantaranya: memberikan keamanan akun & privasi sangat tinggi.. biaya setoran & penarikan cukup murah sekaligus banyak alternatif.. untuk CEX Indonesia sendiri, tokocrypto punya banyak pilihan koin maupun token yang bisa diperjualbelikan.. saya sudah 2 tahun konsisten menggunakan tokocrypto.. semoga secepatnya bisa mempunyai fitur launchpad & nft di tokocrypto.  #Review Berkah #Siap Lebih Cuan;Positif
Muhammad Fadillah;11/03/2023 19:18;Saya memilih Tokocrypto sebagai alat jual beli kripto dan penarikan ketika saya mendapatkan profit. fiturnya lengkap banget dan penarikan yang sangat mudah. apalagi banyak koin baru yang dirilis di tokocrypto ini! setorannya juga gampang banget! bisa melalui gopay, dana dan sebagainya. Terima kasih Tokocrypto! To The moon!!;Positif
irfan aditya;11/03/2023 17:38;Mau penarikan gk bisa bisa , dlu penarikan gampang. Sekarang penarikan banyak eror;Negatif
Selasa Legi;11/03/2023 13:34;Pertama kali mengenal kripto langsung pakai Tokocrypto, gk pernah pakai aplikasi lain. Walaupun saya awam tapi aplikasi ini mudah dipakai, gk ribet, praktis. Untuk setoran dan penarikan selama ini tidak ada kendala, pendukung pelanggan juga cekatan, ramah, cepat tanggap. kerja bagus Tokocrypto.;Positif
Ibnu Hajar;11/03/2023 12:45;Gk jadi unduh ah . . . Terlalu banyak keluhan . .;Negatif
Safrizal;11/03/2023 11:11;Aplikasi pertukaran kripto di Indonesia untuk kalian jual beli aset kripto. Sangat aman dan nyaman dengan fitur yang mudah dipahami, terdapat juga pair BIDR sehingga memudahkan kita untuk jual beli menggunakan saldo IDR kita. Terdaftar resmi di BAPPEBTI, jadi soal legalitas jangan diragukan lagi! Ayo pakai Tokocrypto sebagai aplikasi pertukaran kripto terbaik Indonesia.;Positif
Ashadi Adi;11/03/2023 08:14;Terpercaya dan penarikan gk pake lama;Positif
id bbm37;11/03/2023 07:55;FIX INI APLIKASI RIBET, AUTHENTICATOR TIDAK BISA TERNYATA EMANG ADA, BUKAN KARENA DIHAPUS ATAU GANTI HP.;Negatif
Adriansayaah subekti;11/03/2023 04:27;Aku pakai aplikasi Tokocrypto sejak 2020 sampai sekarang. Tokocrypto benar - benar aplikasi yang bagus dan gk ribet buat jual beli koin kripto. Terus juga sering mengadakan acara menarik yang bikin penggunanya selalu tertarik;Positif
Asep Sunandar;11/03/2023 03:09;Menurut saya sebagai orang yang baru terjun ke dunia kripto, tokocrypto adalah aplikasi perdagangan kripto yang paling mudah digunakan, dari segi tampilan, banyaknya koin yang diperdagangkan, setoran dan penarikan yang mudah dan pasti aman, lalu yang paling penting diawasi Bappebti. Kurang lebih 1 tahunan pakai aplikasi ini Alhamdulillah aman - aman saja.;Positif
Marks Aja;11/03/2023 00:27;Saya belum lama pake tokocrypto, sebelumnya saya tidak mengerti apa itu kripto. Tp semenjak menggunakan aplikasi ini saya mulai sedikit demi sedikit mulai memahaminya karena mudah dimengerti oleh pemula seperti saya karena aplikasi ini sudah terdaftar dan di awasi bappebti sangat aman. Semoga tko to the moon.;Positif
Yoyo Iya;11/03/2023 00:03;aplikasi yang sangat nyaman mudah dipahami untuk pemula dan sangat ringan . semoga versi lite segera hadir . tko to the moon pokoknya .;Positif
GISKA PRADANA;10/03/2023 21:14;Bagaimana ya kok saya gk bisa penarikan ke dompet?;Negatif
Feri Ferdiansayaah;10/03/2023 19:12;dari sekian aplikasi perdagangan aset Kripto. aku lebih tertarik untuk memilih Tokocrypto, tampilan yg mudah digunakan, aplikasi yang cekatan dan setoran yg ringan karena dengan minimal 50 ribu aja kita sudah bisa jual beli Kripto. apalagi metode setorannya yang gk ribet bisa lewat dompet digital juga loh! Dan gk ketinggalan Tokocrypto udh bikin sukses dalam menggelar berbagai kegiatan dalam mendukung program BLK 2023.;Positif
Sopian sopian (Iyan);10/03/2023 18:18;Uangnya gk bisa ditarik terlalu ribet harus pake authenticator… malah jengkel mau tarik uang jg...;Negatif
Anas Nataris;10/03/2023 18:15;Tokocrypto memiliki fitur yang lengkap dan sangat mudah digunakan, biaya admin dan biaya transaksi yg murah merupakan salah satu nilai tambah dr tokocrypto. setoran yang mudah bisa melalui DANA, GOPAY serta banyak! acara berhadiah utk para penggunanya. Penarikan mudah dan cepat serta keamanan terjamin dgn autentifikasi 2 Faktor seperti google authenticator. Dengan token TKO dan didukung oleh binance menjadi salah satu aplikasi terpercaya di indonesia. Sukses selalu tokocrypto. Go to the moon.!;Positif
Julsking Indo;10/03/2023 12:20;Tolonglah min, biaya setoran potongannya jgn gila, setoran 1 jt masa kepotong 97 rb, ini mah meres embel - embel jual beli, gede bgt biaya setoran dibanding indodax, kalo gini bisa2 pengguna beralih di aplikasi sebelah lah.;Negatif
Josua Manik;10/03/2023 08:30;Bagus;Positif
john leyn;10/03/2023 07:58;anjir... tko merosot bgt... rugi 5 jutaan aku;Negatif
Kartono Tono;09/03/2023 14:24;Terlalu ribet mengenai google authenticator;Negatif
Joyoselalu;09/03/2023 12:25;Proses kyc lambat byk eror .. jadi takut invesnya;Negatif
Muhammad Maulana;09/03/2023 12:17;Aplikasi yg sangat mudah digunakan daripada yg lain;Positif
Ijon Ijon;09/03/2023 11:25;Klo mau ribet penarikannya ya aplikasi ini;Negatif
Tomy Yulianto Dwi Pratomo;08/03/2023 16:37;mahal biaya setoran 2%;Negatif
Agus Gunawan;07/03/2023 22:14;ingin nonaktifkan daftar putih harus dgn verifikasi 1 menit, email masuk di detik ke 35an, sms masuk di detik kesekian, belum lagi google authenticator. gk bisa dibikin kek sebelumnya agak lama gt;Negatif
X Pangestu;07/03/2023 18:52;Aplikasi jual beli teribet yg saya temui (bagi saya yg awam) Klo bisa buatlah agar sederhana;Negatif
muhamad yuda;07/03/2023 18:18;bagus;Positif
Yen yen;07/03/2023 13:07;Habis saldo 800 ribu dalam 1 minggu.;Negatif
Goto Assurance;07/03/2023 12:46;Saya tidak bisa menarik aset ETH jaringan Arbitrum, bintang 1;Negatif
Hans Kalangit;07/03/2023 09:46;Sukses;Positif
SOBAT FARM BARATAS;07/03/2023 08:57;Sangat membantu, semoga semakin ditingkatkan performa serta kemudahan tokonauts dalam bertransaksi..;Positif
Tian Gifa;07/03/2023 05:50;Setelah pemeliharaan saya tidak bisa akses masuk ke aplikasi. Katanya jaringan tidak aman. Padahal saya biasa pakai jaringan yg sama tp baik - baik aja. Hasilnya uang beberapa juta di aplikasi ini tidak bisa saya tarik karna tidak bisa masuk. Saran saya jangan pakai aplikasi ini. lebih baik pakai aplikasi lokal yg lain. Karena jarang ada kendala masuk. Indodax, Reku, pintu dll. daripada dan mengalami nasib yg sama dan uang anda hilang. Terima kasih;Negatif
Richard Herry;07/03/2023 05:39;Kenapa saya tidak bisa masuk ke akun saya;Negatif
Ari Faturossaya;07/03/2023 05:32;gk bisa buka aplikasi kesalahan jaringan mulu. udh coba ganti operator sama saja. padahal binance & paypal gk ada masalah dengan jaringan gw.;Negatif
Muh.Achmad Sakty Sakty;07/03/2023 05:29;Aplikasinya bagus, keamanannya ketat, dan penarikan lancar;Positif
ASH STORY;07/03/2023 05:26;Kenapa dengan jaringannya, saya tidak bisa masuk di aplikasi ?????????????;Negatif
Prima aditya;07/03/2023 01:34;Semakin kesini makin gk benar. Sudah diperbarui tapi sering keluar sendiri. Masuk susah. Jadi makin gk percaya simpan aset banyak di aplikasi ini. Perbaiki dong minimal sama kyk binance.;Negatif
Jei Mansayaah;07/03/2023 01:05;bagus;Positif
adriyanto lasulika;07/03/2023 00:59;Kenapa tokocrypto gk bisa dibuka?;Negatif
anang firendi;07/03/2023 00:55;Sering eror, TIPE DATA SALAH TERUS MASIH MAU BUKA, PADAHAL GK DI APA APAIN;Negatif
Zidan warung Lalapan;07/03/2023 00:42;bagus tampilannya;Positif
Rokidin Rokidin;07/03/2023 00:13;ok sip bagus;Positif
Mas Doeng;07/03/2023 00:11;Aplikasi sangat buruk sekali mending tinggal Masa habis setoran diperjualbelikan aplikasi eror gk bisa masuk ....woy gimana ini aset gua?;Negatif
Nooberz Gaming;06/03/2023 19:55;Jangan instal aplikasi ini soalnya kalau penarikan akan dipersulit cari aplikasi lain saja giliran setoran cepat benar aplikasi abal abal;Negatif
ANGGA JUHANA;06/03/2023 16:20;penarikan dan setoran pajaknya mahal;Negatif
Yunita Defianti;06/03/2023 09:25;Dompet aku ilang ;Negatif
Zirfa Dakenzo;06/03/2023 08:31;baik;Positif
DFX Channel;06/03/2023 08:02;Sebenarnya kunci dari aplikasi banyak pengguna itu, Utamakan Kemudahan kepercayaan;Negatif
fajar mnur;05/03/2023 15:26;Aneh binance aja yang aplikasi internasional dunia aja lolos verifikasi lah ini cuman lokal gk diterima padahal sama terus gk bisa verifikasi lagi udah menunggunya lama binance aja cuman 5 menit padahal pas di tokocrypto masuk akun terhubung dengan binance;Negatif
Bang Dul;05/03/2023 11:35;Tambah ribet aja sekarang kalau mau penarikan;Negatif
Hellz Andraezz;05/03/2023 01:31;Kenapa ada virusnya..?;Negatif
Bery;04/03/2023 18:22;Cukup bagus. cara daftar mudah. Email, otp mudah gk ribet, tak kasih bintang 5;Positif
Nadya Hutagaol;04/03/2023 05:36;Antarmukanya terbilang bagus, jual beli jg lebih mudah dimengerti;Positif
Abu Yazid;04/03/2023 05:23;penarikan dari kemarin sampai sekarang belum diterima aplikasi lemot;Negatif
Senja Dewi;03/03/2023 14:31;Kurang banyak verifikasi lu, mau narik duit aja sejam buat verifikasi doang. Ribet. Mana biaya admin lu gk ngotak....;Negatif
Maulana Fadjar;03/03/2023 13:11;Sangat rekomendasi, penuh keamanannya ;Positif
KONCO MANCING;03/03/2023 11:31;Yang benar aja dong gua pilih ini aplikasi karena setoran minimal 20 ribu eh sekarang minimal 5 ribu dan penarikan dulu murah sekarang dinaikkan mending pindah sebelah biar bangkrut sekalian;Negatif
Ahmad Azharil Hafid;02/03/2023 19:53;Aplikasi yg sangat bagus dan mudah digunakan;Positif
Budi Anto;02/03/2023 16:32;"Saya sangat kecewa karena masalah ""verifikasi anda ditolak"" membuat saya kesal karena terlalu ribet dan merepotkan. Kyk gini aja lama sekali mending aplikasi lain sederhana dan gk rumit , gk perlu panjang"" .";Negatif
all ghazali;02/03/2023 11:55;Sering keluar sendiri min..;Negatif
toni channel;02/03/2023 07:41;Kenapa aplikasinya bisa keluar sendiri setelah masuk lagi keluar lagi Akun anda terdeteksi bukan anda bagaimana ceritanya selalu di hp sendiri yg masuk;Negatif
Jangan mengambil Data informasiku;01/03/2023 21:02;Pajak jual belinya terlalu besar . penarikan Rp10.000 mahal;Negatif
Muhammad Amirul umarul faruq;01/03/2023 11:17;Kenapa mau penarikan dipersulit?;Negatif
alifira one;01/03/2023 08:46;Suka;Positif
daniel sahdatillah;01/03/2023 03:52;Jangan setoran disini koinnya suka hilang, jadi gk bisa dijual padahal belinya disini. Koin saya hilang 500.000 ribu lebih. Sangat sangat merugikan untuk para pengguna aplikasi. Udah gk usah jual beli gk untung malah buntung;Negatif
